id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
91,3,Atlantic Canine Kennel,8289 Carlisle Pike,,PA,,ADAMS,Latimore,01005,Closed - Voluntarily,2022,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3,2025-12-18 14:55:17,2025-12-18 14:55:17
92,17958,Becky & Jeff Martin,3 N. Pine Street,,PA,,ADAMS,,18094,Open,2025,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17958,2025-12-18 14:55:17,2025-12-18 14:55:17
93,4,Atlantic Canine Kennel,8289 Carlisle Pike,,PA,,ADAMS,Latimore,01006,Open,2025,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/4,2025-12-18 14:55:17,2025-12-18 14:55:17
94,15313,Melvin Stoltzfus,140 Robbins Lane,,PA,,ADAMS,Franklin,16461,Closed - Voluntarily,2022,CK4: 151-250 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15313,2025-12-18 14:55:17,2025-12-18 14:55:17
95,2,Adams County SPCA,11 Goldenville Road,,PA,,ADAMS,Straban,01000,Open,2025,SPCA: Society for the Prevention of Cruelty to Animals,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2,2025-12-18 14:55:17,2025-12-18 14:55:17
96,17945,Benuel & John King,807 Beecherstown Road,,PA,,ADAMS,Butler,18081,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17945,2025-12-18 14:55:18,2025-12-18 14:55:18
97,3152,Chateau Barkingham,80 SILO ROAD,,PA,,ADAMS,FRANKLIN,04463,Open,2025,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3152,2025-12-18 14:55:19,2025-12-18 14:55:19
98,5,Big Hill Kennel,294 Creek Road,,PA,,ADAMS,Menallen,01007,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/5,2025-12-18 14:55:19,2025-12-18 14:55:19
99,9281,Cherry Lane Puppy Haven,385 Sells Station Rd.,,PA,,ADAMS,Union,10482,Closed - Voluntarily,2023,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/9281,2025-12-18 14:55:19,2025-12-18 14:55:19
100,6,Conewago Collies,119 Conewago St,,PA,,ADAMS,Franklin,01008,Closed - Voluntarily,2023,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/6,2025-12-18 14:55:19,2025-12-18 14:55:19
101,17042,Confederate Woods Animal Hospital,10 Confederate Dr.,,PA,,ADAMS,Cumberland,17180,Open,2026,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17042,2025-12-18 14:55:20,2025-12-18 14:55:20
102,8,Copper Cabin Kennels,177 Red Bridge Road,,PA,,ADAMS,Straban,01010,Closed - Voluntarily,2018,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/8,2025-12-18 14:55:20,2025-12-18 14:55:20
103,14975,Confederate Woods Veterinary Hospital Inc.,10 Confederate Drive,,PA,,ADAMS,Cumberland,16125,Closed - Voluntarily,2019,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/14975,2025-12-18 14:55:20,2025-12-18 14:55:20
104,15992,Copper Cabin Kennel,177 Red Bridge Road,,PA,,ADAMS,Straban,17129,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15992,2025-12-18 14:55:20,2025-12-18 14:55:20
105,3754,Cozy Canine LLC,2575 Tract Rd,,PA,,ADAMS,Liberty,05069,Closed - Voluntarily,2023,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3754,2025-12-18 14:55:20,2025-12-18 14:55:20
106,17146,Double Dog Dare Rescue,Di Warren,,PA,,ADAMS,Bendersville,17284,Closed - Voluntarily,2021,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17146,2025-12-18 14:55:21,2025-12-18 14:55:21
107,18460,FarmHouse Kennel,1715 Waynesboro Pike,,PA,,ADAMS,Liberty,18595,Closed - Voluntarily,2024,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18460,2025-12-18 14:55:21,2025-12-18 14:55:21
108,3515,Dream on Acres Boarding Kennel,326 Shrivers Corner Rd,,PA,,ADAMS,Straban,04836,Open,2025,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3515,2025-12-18 14:55:21,2025-12-18 14:55:21
109,15561,For the Love of Dogs Rescue,1400 Irishtown Road,,PA,,ADAMS,Oxford,16705,Closed - Voluntarily,2023,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15561,2025-12-18 14:55:21,2025-12-18 14:55:21
110,17254,For The Love Of Dogs rescue/Tiffany Holladay,102 Willow Street,,PA,,ADAMS,York Springs,17392,Closed - Voluntarily,2022,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17254,2025-12-18 14:55:21,2025-12-18 14:55:21
111,18599,Furbabies Daycare and Boarding,6281 York Road,,PA,,ADAMS,Berwick,18733,Open,2026,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18599,2025-12-18 14:55:22,2025-12-18 14:55:22
112,15873,"Garretson's Kennel",70 Crooked Creek Road,,PA,,ADAMS,Franklin,17012,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15873,2025-12-18 14:55:22,2025-12-18 14:55:22
113,17981,Gettysburg Animal Hospital Inc.,996 Old Harrisburg Road,,PA,,ADAMS,Straban,18117,Open,2026,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17981,2025-12-18 14:55:22,2025-12-18 14:55:22
114,3891,"Gettysburg Animal Hospital, Inc.",996 Old Harrisburg Rd,,PA,,ADAMS,Straban,05206,Closed - Voluntarily,2022,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3891,2025-12-18 14:55:23,2025-12-18 14:55:23
115,17555,Golden Acres LLC,3225 Old Harrisburg Rd.,,PA,,ADAMS,Straban,17691,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17555,2025-12-18 14:55:23,2025-12-18 14:55:23
116,18304,Golden Wood Tract Road LLC,2617 Tract Road,,PA,,ADAMS,Liberty,18439,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18304,2025-12-18 14:55:23,2025-12-18 14:55:23
117,12,Hanover Borough Holding Pen,"300 O'Brien Lane",,PA,,ADAMS,Conewago,01014,Open,2025,MH: Municipal Holding Pen,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/12,2025-12-18 14:55:24,2025-12-18 14:55:24
118,17212,Happy Hounds Homeward Bound,658 Old Westminster Rd.,,PA,,ADAMS,Union,17350,Application/License Refused,2019,NP: Non-Profit,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17212,2025-12-18 14:55:24,2025-12-18 14:55:24
119,14,Hidden Meadows Kennel,40 Wenschoff Road,,PA,,ADAMS,Freedom,01017,Closed - Voluntarily,2024,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/14,2025-12-18 14:55:24,2025-12-18 14:55:24
120,15431,Holsinger,1525 Upper Bermudian Road,,PA,,ADAMS,Tyrone,16576,Open,2026,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15431,2025-12-18 14:55:24,2025-12-18 14:55:24
121,15,"Horse N' Hound Haven Kennel",1385 Hunterstown Hampton Road,,PA,,ADAMS,Straban,01018,Closed - Voluntarily,2022,BK2: 11-25 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15,2025-12-18 14:55:24,2025-12-18 14:55:24
122,17311,J & T Frenchie Palacio,5475 Carlisle Pike,,PA,,ADAMS,Reading,17449,Open,2025,CK1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17311,2025-12-18 14:55:25,2025-12-18 14:55:25
